System State,Events,Expected Next State,Guards,,,,,,,Actions,,,,,,
,,,DFS,VR,AudioHW,PTT_Switch,Mute_Switch,LPSD,CircularBuffer,DFS,VR,AudioHW,PTT_Switch,Mute_Switch,LPSD,CircularBuffer
WAIT_ON_KWD,,,NODE4,STARTED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING,NODE4,STARTED,STREAMING,DONT_CARE,DONT_CARE,DONT_CARE,SAVING
,LPSD_OFF,--,,,,,,,,,,,,,START_OFF,
,LPSD_ON,--,,,,,,,,,,,,,START_ON,
,VR_TRIGGER,WAIT_ON_KWD,,,,,,,,,,,,,START_ON,
CONFIGURED,,,DONT_CARE,STOPPED,STOPPED,DONT_CARE,DONT_CARE,STOPPED,STOPPED,DONT_CARE,STOPPED,STOPPED,DONT_CARE,DONT_CARE,STOPPED,STOPPED
,START,,,,,,,,,MIN_NODE4,START,START_STREAMING,,,START_OFF,START_SAVING
INITIAL,,,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG,UNCONFIG
,CONFIG,,,,,,,,,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG,CONFIG
//END OF TABLE,,,,,,,,,,,,,,,,
